TR001;BRGP00020;Neutrik Jack NC3FXX;0;2022-01-14
TR002;BRGP01811;Srexact Jack Stereo Mini SP110AM-G-C81-BK;0;2022-01-20
TR003;BRGP00021;Neutrik Jack NC3MXX;1;2022-01-27
TR004;BRGP00903;D Addario S/G Reguler EXL-120;1;2022-02-03
TR005;BRGP00021;Neutrik Jack NC3MXX;1;2022-02-08
TR006;BRGP00843;Focus Jack Mic Male GCA 700/N3P;1;2022-02-11
TR007;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;2022-02-17
TR008;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;1;2022-02-18
TR009;BRGP01809;Srexact Jack Akai Mono SP102X-POG;1;2022-02-19
TR010;BRGP00021;Neutrik Jack NC3MXX;2;2022-02-26
TR011;BRGP01809;Srexact Jack Akai Mono SP102X-POG;1;2022-03-11
TR012;BRGP00021;Neutrik Jack NC3MXX;2;2022-03-12
TR013;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;2022-03-16
TR014;BRGP00921;Centurion CLED 543X RGBW;12;2022-04-02
TR015;BRGP01809;Srexact Jack Akai Mono SP102X-POG;2;2022-04-09
TR016;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;2022-04-11
TR017;BRGP00921;Centurion CLED 543X RGBW;12;2022-04-14
TR018;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;2;2022-04-21
TR019;BRGP00021;Neutrik Jack NC3MXX;1;2022-05-09
TR020;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;4;2022-05-13
TR021;BRGP01809;Srexact Jack Akai Mono SP102X-POG;4;2022-05-27
TR022;BRGP00021;Neutrik Jack NC3MXX;4;2022-05-28
TR023;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;2022-05-30
TR024;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;2;2022-06-07
TR025;BRGP01809;Srexact Jack Akai Mono SP102X-POG;2;2022-06-27
TR026;BRGP00021;Neutrik Jack NC3MXX;3;2022-07-21
TR027;BRGP01809;Srexact Jack Akai Mono SP102X-POG;2;2022-07-26
TR028;BRGP00903;D Addario S/G Reguler EXL-120;1;2022-08-11
TR029;BRGP01809;Srexact Jack Akai Mono SP102X-POG;7;2022-08-12
TR030;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;1;2022-08-24
TR031;BRGP01809;Srexact Jack Akai Mono SP102X-POG;6;2022-09-01
TR032;BRGP00021;Neutrik Jack NC3MXX;1;2022-09-07
TR033;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;2;2022-09-08
TR034;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;3;2022-09-12
TR035;BRGP01809;Srexact Jack Akai Mono SP102X-POG;4;2022-09-15
TR036;BRGP00021;Neutrik Jack NC3MXX;1;2022-10-01
TR037;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;2022-11-01
TR038;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;6;2022-12-16
TR039;BRGP01809;Srexact Jack Akai Mono SP102X-POG;3;2022-12-20
TR040;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;1;2022-12-21
TR041;BRGP00903;D Addario S/G Reguler EXL-120;1;2022-12-23
TR042;BRGP00021;Neutrik Jack NC3MXX;4;2022-12-29
TR043;BRGP00021;Neutrik Jack NC3MXX;2;2023-01-04
TR044;BRGP00682;Krezt Jack Speakon TSC-033;4;2023-01-05
TR045;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;2;2023-02-01
TR046;BRGP01809;Srexact Jack Akai Mono SP102X-POG;2;2023-03-01
TR047;BRGP00021;Neutrik Jack NC3MXX;5;2023-04-01
TR048;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;2;2023-05-01
TR049;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;2;2023-06-01
TR050;BRGP01809;Srexact Jack Akai Mono SP102X-POG;2;2023-07-01
TR051;BRGP00903;D Addario S/G Reguler EXL-120;2;2023-08-01
TR052;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;4;2023-09-01
TR053;BRGP00021;Neutrik Jack NC3MXX;3;2023-10-01
TR054;BRGP00903;D Addario S/G Reguler EXL-120;1;2023-11-01
TR055;BRGP01809;Srexact Jack Akai Mono SP102X-POG;1;2023-12-21
TR056;BRGP00682;Krezt Jack Speakon TSC-033;0;2023-12-26
TR057;BRGP00843;Focus Jack Mic Male GCA 700/N3P;0;2023-12-27
TR058;BRGP00921;Centurion CLED 543X RGBW;0;2023-12-28
TR059;BRGP00021;Neutrik Jack NC3MXX;1;2024-01-12
TR060;BRGP00903;D Addario S/G Reguler EXL-120;1;2024-01-13
TR061;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;2;02/02/2022
TR062;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;7;02/02/2022
TR063;BRGP01809;Srexact Jack Akai Mono SP102X-POG;8;02/02/2022
TR064;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;03/02/2022
TR065;BRGP00021;Neutrik Jack NC3MXX;1;05/02/2022
TR066;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;4;05/02/2022
TR067;BRGP00021;Neutrik Jack NC3MXX;16;07/02/2022
TR068;BRGP00903;D Addario S/G Reguler EXL-120;1;07/02/2022
TR069;BRGP01621;SREXACT Jack RCA SP116G-C81-BK;20;07/02/2022
TR070;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;6;07/02/2022
TR071;BRGP00899;D Addario S/G Acc. EJ-10 X-Lite;1;08/02/2022
TR072;BRGP01809;Srexact Jack Akai Mono SP102X-POG;3;09/02/2022
TR073;BRGP00021;Neutrik Jack NC3MXX;2;10/02/2022
TR074;BRGP00903;D Addario S/G Reguler EXL-120;1;10/02/2022
TR075;BRGP01623;SREXACT Jack Male SVP555V-BK-PG;1;10/02/2022
